doc_id,name,album,album_base,era,mood_tags,profile_text
song::THE TORTURED POETS DEPARTMENT::1::Fortnight (feat. Post Malone),Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,Pop Rock (2022-),"low-energy, melancholic, fast-tempo","Song: Fortnight (feat. Post Malone)
Album: THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Base album: THE TORTURED POETS DEPARTMENT
Release year: 2024
Era: Pop Rock (2022-)
Popularity: 82
Audio profile: acousticness=0.502, danceability=0.504, energy=0.386, valence=0.281, tempo=192.0, loudness=-10.98.
Mood tags: low-energy, melancholic, fast-tempo
Cluster: Cluster 1: 原声 · 忧郁
Taylor's Version: False
"
song::THE TORTURED POETS DEPARTMENT::2::The Tortured Poets Department,The Tortured Poets Department,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,Pop Rock (2022-),"electronic/produced, melancholic","Song: The Tortured Poets Department
Album: THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Base album: THE TORTURED POETS DEPARTMENT
Release year: 2024
Era: Pop Rock (2022-)
Popularity: 79
Audio profile: acousticness=0.048, danceability=0.604, energy=0.428, valence=0.292, tempo=110.3, loudness=-8.44.
Mood tags: electronic/produced, melancholic
Cluster: Cluster 0: 电子 · 高能量 · 忧郁
Taylor's Version: False
"
song::THE TORTURED POETS DEPARTMENT::3::My Boy Only Breaks His Favorite Toys,My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,Pop Rock (2022-),electronic/produced,"Song: My Boy Only Breaks His Favorite Toys
Album: THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Base album: THE TORTURED POETS DEPARTMENT
Release year: 2024
Era: Pop Rock (2022-)
Popularity: 80
Audio profile: acousticness=0.137, danceability=0.596, energy=0.563, valence=0.481, tempo=97.1, loudness=-7.36.
Mood tags: electronic/produced
Cluster: Cluster 0: 电子 · 高能量 · 忧郁
Taylor's Version: False
"
song::THE TORTURED POETS DEPARTMENT::4::Down Bad,Down Bad,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,Pop Rock (2022-),"acoustic, low-energy, melancholic, fast-tempo","Song: Down Bad
Album: THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Base album: THE TORTURED POETS DEPARTMENT
Release year: 2024
Era: Pop Rock (2022-)
Popularity: 82
Audio profile: acousticness=0.560, danceability=0.541, energy=0.366, valence=0.168, tempo=159.7, loudness=-10.41.
Mood tags: acoustic, low-energy, melancholic, fast-tempo
Cluster: Cluster 1: 原声 · 忧郁
Taylor's Version: False
"
"song::THE TORTURED POETS DEPARTMENT::5::So Long, London","So Long, London",THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,Pop Rock (2022-),"acoustic, melancholic, fast-tempo","Song: So Long, London
Album: THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Base album: THE TORTURED POETS DEPARTMENT
Release year: 2024
Era: Pop Rock (2022-)
Popularity: 80
Audio profile: acousticness=0.730, danceability=0.423, energy=0.533, valence=0.248, tempo=160.2, loudness=-11.39.
Mood tags: acoustic, melancholic, fast-tempo
Cluster: Cluster 1: 原声 · 忧郁
Taylor's Version: False
"
song::THE TORTURED POETS DEPARTMENT::6::But Daddy I Love Him,But Daddy I Love Him,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,Pop Rock (2022-),"high-energy, slow-tempo","Song: But Daddy I Love Him
Album: THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Base album: THE TORTURED POETS DEPARTMENT
Release year: 2024
Era: Pop Rock (2022-)
Popularity: 81
Audio profile: acousticness=0.384, danceability=0.521, energy=0.720, valence=0.438, tempo=79.9, loudness=-7.68.
Mood tags: high-energy, slow-tempo
Cluster: Cluster 0: 电子 · 高能量 · 忧郁
Taylor's Version: False
"
song::THE TORTURED POETS DEPARTMENT::7::Fresh Out The Slammer,Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,Pop Rock (2022-),"acoustic, slow-tempo","Song: Fresh Out The Slammer
Album: THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Base album: THE TORTURED POETS DEPARTMENT
Release year: 2024
Era: Pop Rock (2022-)
Popularity: 78
Audio profile: acousticness=0.624, danceability=0.330, energy=0.483, valence=0.340, tempo=87.1, loudness=-9.39.
Mood tags: acoustic, slow-tempo
Cluster: Cluster 1: 原声 · 忧郁
Taylor's Version: False
"
song::THE TORTURED POETS DEPARTMENT::8::Florida!!! (feat. Florence + The Machine),Florida!!! (feat. Florence + The Machine),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,Pop Rock (2022-),"electronic/produced, fast-tempo","Song: Florida!!! (feat. Florence + The Machine)
Album: THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Base album: THE TORTURED POETS DEPARTMENT
Release year: 2024
Era: Pop Rock (2022-)
Popularity: 79
Audio profile: acousticness=0.178, danceability=0.533, energy=0.573, valence=0.398, tempo=150.1, loudness=-7.12.
Mood tags: electronic/produced, fast-tempo
Cluster: Cluster 0: 电子 · 高能量 · 忧郁
Taylor's Version: False
"
song::THE TORTURED POETS DEPARTMENT::9::Guilty as Sin?,Guilty as Sin?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,Pop Rock (2022-),acoustic,"Song: Guilty as Sin?
Album: THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Base album: THE TORTURED POETS DEPARTMENT
Release year: 2024
Era: Pop Rock (2022-)
Popularity: 82
Audio profile: acousticness=0.607, danceability=0.626, energy=0.428, valence=0.487, tempo=95.0, loudness=-8.37.
Mood tags: acoustic
Cluster: Cluster 1: 原声 · 忧郁
Taylor's Version: False
"
song::THE TORTURED POETS DEPARTMENT::10::Who’s Afraid of Little Old Me?,Who’s Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,Pop Rock (2022-),"low-energy, melancholic","Song: Who’s Afraid of Little Old Me?
Album: THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Base album: THE TORTURED POETS DEPARTMENT
Release year: 2024
Era: Pop Rock (2022-)
Popularity: 81
Audio profile: acousticness=0.315, danceability=0.606, energy=0.338, valence=0.238, tempo=119.9, loudness=-10.55.
Mood tags: low-energy, melancholic
Cluster: Cluster 1: 原声 · 忧郁
Taylor's Version: False
"
song::THE TORTURED POETS DEPARTMENT::11::I Can Fix Him (No Really I Can),I Can Fix Him (No Really I Can),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,Pop Rock (2022-),"acoustic, low-energy, danceable","Song: I Can Fix Him (No Really I Can)
Album: THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Base album: THE TORTURED POETS DEPARTMENT
Release year: 2024
Era: Pop Rock (2022-)
Popularity: 77
Audio profile: acousticness=0.768, danceability=0.661, energy=0.257, valence=0.318, tempo=106.9, loudness=-13.96.
Mood tags: acoustic, low-energy, danceable
Cluster: Cluster 1: 原声 · 忧郁
Taylor's Version: False
"
song::THE TORTURED POETS DEPARTMENT::12::loml,loml,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,Pop Rock (2022-),"acoustic, low-energy, melancholic, slow-tempo","Song: loml
Album: THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Base album: THE TORTURED POETS DEPARTMENT
Release year: 2024
Era: Pop Rock (2022-)
Popularity: 80
Audio profile: acousticness=0.858, danceability=0.423, energy=0.272, valence=0.195, tempo=78.5, loudness=-12.56.
Mood tags: acoustic, low-energy, melancholic, slow-tempo
Cluster: Cluster 1: 原声 · 忧郁
Taylor's Version: False
"
song::THE TORTURED POETS DEPARTMENT::13::I Can Do It With a Broken Heart,I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,Pop Rock (2022-),"electronic/produced, high-energy, danceable, melancholic","Song: I Can Do It With a Broken Heart
Album: THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Base album: THE TORTURED POETS DEPARTMENT
Release year: 2024
Era: Pop Rock (2022-)
Popularity: 82
Audio profile: acousticness=0.123, danceability=0.701, energy=0.751, valence=0.220, tempo=130.0, loudness=-8.39.
Mood tags: electronic/produced, high-energy, danceable, melancholic
Cluster: Cluster 0: 电子 · 高能量 · 忧郁
Taylor's Version: False
"
